cz2000_res,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
282,554910,554664.9,40629.57,40618.97,734484.,36617.493764261715,730216.51,36718.70723657809,12021.25,0.9477888361062687,0.09747569071841837,0.8949835480596956,0.9796196754892786,0.0954891045096703,0.8767434929184822,0.9549981052400988,38.69712000000072
283,167850,171008.5,34876.22,35325.22,1.467218e6,46452.725995250876,1.55740248e6,48129.954061740675,9698.019,0.9348985576740338,0.10874382691822287,0.8895933417846564,0.9929372066421186,0.10797579173975425,0.8833103278390843,0.7902168404475713,1692.536
284,303044,302460.9,42953.59,42638.19,2.009147e6,43053.30019692436,1.9839184000000001e6,43033.28347810676,7465.188,0.9166768332700194,0.16027733653840268,0.8371377776752529,0.9920500203685048,0.15900313497753207,0.8304825493939795,1.0087982876535089,547.9473999999991
285,92373,94549.33,45619.9,45025.14,2.878254e6,44309.85054285688,2.9164319e6,44740.35589978905,3469.533,0.8604186830303292,0.24102715755926202,0.757310049525331,0.9973734020075651,0.24039407611109456,0.755320900469597,1.0747987938884689,789.4629999999997
286,87638,91730.48,31987.4,32717.49,331328.,37638.95158432127,330345.22000000003,37570.44279118735,9032.915,0.8527095900948083,0.2377172131069065,0.7606331069698303,0.9985417540248621,0.23737056293767236,0.759523916803035,0.7233812159568631,840.8703
287,31021,30851.76,33267.56,32962.11,375045.,37099.809714994204,387060.4,37814.922752488244,5820.949,0.937524471861573,0.125204210431698,0.8739960292634933,0.9990811326102005,0.12508916436566672,0.8731929428133888,0.8093779260871118,134.0669999999999
288,467329,466234.8,39546.86,39542.88,0.,0.,0.,0.,35146.51,0.9986247272833345,0.004963345801122618,0.9923273054595029,0.8485785989012332,0.00421178902577895,0.842067714518261,1.0717989867800457,7386.2959999999985
289,41844,43216.25,32827.91,33176.48,331065.,37541.670976787034,331726.85,37619.131045614486,8015.304,0.9165529170161687,0.13169227101868658,0.8673985751020218,0.999249750862454,0.13159346900593336,0.8667478100691429,0.7969285142744916,43.711720000000014
290,828333,828333,45271.4,45271.4,0.,0.,0.,0.,15028.85,1.,0.,0.9953937843567637,0.27853719233705126,0.,0.27725418996448525,1.6137266698752528,4556.542000000001
291,492160,492877.7,30694.75,30699.11,0.,0.,0.,0.,11073.55,0.9982788833822264,0.0019857888482242526,0.9952778893843215,0.9409869079209033,0.0018686013080743515,0.9365434636537956,0.7487337385782674,4239.361000000001
