vector_number,cf_w,cf_hatL,cf_hatR,diag_cf_λ,real_v,shock,non_demean_shock
1105,0.12483210854545845,-0.40378186834246765,0.43184968072143004,-3.025112775922545,0.426386781347321,0.0029077005136817213,1.0092001580920857
1107,0.12060308692076749,-1.5879793610442672,0.5048936964738404,-3.2813501606158257,0.48271098432726145,0.003722478048225897,1.01001493562663
1109,0.11962799893812104,0.12437192893508531,-0.20301605449015714,-1.2353361927603834,0.16505257534797924,-0.0026024479204074247,1.0036900096579966
1111,0.14761798838005546,-1.251989500952666,0.4098571843012877,-2.808463602271083,0.42291929495803515,0.002202103299632885,1.008494560878037
1113,0.1370347701248109,0.4632776567234709,1.039261525540769,-4.314505674110314,0.46235847531614915,0.007077462587279371,1.0133699201656834
1115,0.14549534389263208,-0.8534544527852961,0.7817654257189277,-4.179421554732265,0.7846813373778572,0.006775913325502314,1.0130683709039063
1117,0.13934382207052565,0.44558006034742803,0.8214880978491435,-3.527989062696857,0.2161834974069743,0.004672542536957591,1.0109650001153616
1119,0.11929041839831012,-0.8391135644759018,-0.019324217246774467,-1.8432320014923897,0.28137986652374547,-0.0007550025741713817,1.0055374550042326
1121,0.1389668231472907,0.18319364991703502,0.45604897216462437,-2.4763044840200976,0.032633428926653885,0.001209128423882433,1.0075015860022865
1123,0.13856858033955977,-0.7750132055384995,0.16748597197908666,-2.073469700309216,0.21590705135881016,-4.661002784378532e-5,1.0062458475505602
1125,0.11396363882221205,-0.26343924768074123,-0.44277455718747527,-0.6401740433094827,0.09470542919807201,-0.004389179609856075,1.001903277968548
1127,0.11916489950714038,-0.8379853133766879,-0.3347588939631163,-2.0407967322913056,0.9969696074144885,-0.00011919181723452077,1.0061732657611695
1129,0.11285401057339328,0.3284583044734779,0.8690782732057478,-2.9735960013735463,-0.42702349554031294,0.0027660571947110135,1.009058514773115
1131,0.118727901946869,0.5257537168849691,0.13938550828382912,-1.6381556760442617,-0.15400143728665494,-0.0013844809982257456,1.0049079765801783
1133,0.12745317864317762,0.5107495589986133,0.4562545340727642,-2.627898974797571,0.09517839799464411,0.001674217441753001,1.007966675020157
2013,0.05617185372948086,-0.8312249543701578,-0.8312249543701578,2.220446049250313e-14,-0.13730974036534338,-0.00629245757840402,1.0
2016,0.04016241980424606,-0.8770182152333383,-0.8770182152333383,0.0,-0.19126949064165455,-0.00629245757840402,1.0
2020,0.04937653286711807,-0.7319830722736786,-0.9047779603701733,-0.010194016136233497,-0.23545713979883365,-0.006262764369976415,1.0000296932084276
2050,0.05367420829673897,-0.8493670949429655,-0.8493670949429655,-1.1102230246251565e-14,-0.15868839673407464,-0.00629245757840402,1.0
2060,0.04507414392644904,-0.8937331137815807,-0.8675383536102976,-0.026400202643395154,-0.1923009906311668,-0.0062150729468648525,1.0000773846315392
2068,0.06815323119191419,-0.865526323850907,-0.865526323850907,2.220446049250313e-14,-0.17772767503424491,-0.00629245757840402,1.0
2070,0.05285752312360614,-0.8523867293092291,-0.8523867293092291,0.0,-0.1622438757804101,-0.00629245757840402,1.0
2090,0.05041063867581297,-0.9057249690358926,-0.9057249690358926,0.0,-0.22508925132744828,-0.00629245757840402,1.0
2100,0.05311122874340768,-0.7872473860917828,-0.8333002828685099,-0.020926829849543527,-0.13935915910379126,-0.006230879456520011,1.000061578121884
2110,0.03833315943806426,-0.884753331705268,-0.8851039325181831,0.0,-0.20076011553663564,-0.00629245757840402,1.0
2122,0.052905527541913244,-0.8787300999174907,-0.8787300999174907,0.0,-0.19328291108300366,-0.00629245757840402,1.0
2130,0.049718634134654494,-0.8317489889323793,-0.8209205519253637,-0.033985642578282516,-0.15592934290437066,-0.006192607499735825,1.0000998500786682
2150,0.047150472368029384,-0.8668042839378609,-0.8668042839378609,0.0,-0.17923441917216953,-0.00629245757840402,1.0
2164,0.05576504777202729,-0.7921985962853206,-0.8435073474257648,0.0,-0.15178068474688278,-0.00629245757840402,1.0
2170,0.07305198677356461,-1.7656051815115092,-0.6859295078600169,-1.1590699040075925,0.33281845473025484,-0.002799165053283703,1.0034932925251203
2180,0.053613331918844764,-0.8437626579401836,-0.8437626579401836,0.0,-0.15208607159705734,-0.00629245757840402,1.0
2185,0.050812370873676294,-0.8496756456539245,-0.8496756456539245,2.220446049250313e-14,-0.15905085268290708,-0.00629245757840402,1.0
2188,0.054461179623266354,-0.8431082962732872,-0.8431082962732872,2.220446049250313e-14,-0.1513126105878393,-0.00629245757840402,1.0
2201,0.05798097974036853,-0.8751072362593537,-0.7986235440280987,-0.09023664252175712,-0.10176622266896418,-0.006025386769093366,1.0002670708093107
2220,0.0475460268220651,-0.8505727075443725,-0.8505727075443725,0.0,-0.16010960259185136,-0.00629245757840402,1.0
2232,0.058441395621411374,-0.8393260867419317,-0.7940779178621904,-0.06221289219137116,-0.14301793211339842,-0.0061086371871497125,1.0001838203912543
2240,0.05987062045684777,-0.8500805547017043,-0.8500805547017043,0.0,-0.15952981282070233,-0.00629245757840402,1.0
2261,0.06281481693792834,-0.8493398096763194,-0.8493398096763194,0.0,-0.15865723623006422,-0.00629245757840402,1.0
2270,0.05540569737241263,-0.8409695844307175,-0.8409695844307175,0.0,-0.14879125563614926,-0.00629245757840402,1.0
2280,0.05544280738352114,-0.7551329391231154,-0.8252005417318298,0.0,-0.1302122728137345,-0.00629245757840402,1.0
2282,0.06433505635337067,-0.8188632920024586,-0.8188632920024586,0.0,-0.12274369862731449,-0.00629245757840402,1.0
2290,0.06119463123266389,-0.8476219765866211,-0.8476219765866211,-1.1102230246251565e-14,-0.1566282170236466,-0.00629245757840402,1.0
4001,0.0496503182031649,-0.630010793599256,-0.6406796935265358,-0.4702468055602149,-0.10075939413866086,-0.004899848487662561,1.0013926090907415
4003,0.044708528492964916,-0.8334609711373231,-0.8328126083142151,-0.016191634077189487,-0.15000207295599033,-0.0062446932517470355,1.000047764326657
4005,0.03514138038598347,-0.8524617202467999,-0.8524617202467999,0.0,-0.16233505969248663,-0.00629245757840402,1.0
4007,0.030964007756839607,-0.8126472415956432,-0.8521648996136388,-0.0462999463949898,-0.16346788930771128,-0.0061552828151811845,1.0001371747632228
4009,0.04368130688561234,-1.313985702149667,-0.6873065195748707,-0.7919900386232914,0.1745273184076801,-0.0039454655181014875,1.0023469920603025
4011,0.047685436062350206,0.7280227929726824,-0.6386451885555866,-0.3077174423453455,-0.2310182373591041,-0.005381582500915583,1.0009108750774884
4012,0.007794015016315825,-0.8863864317300685,-0.890112342390792,-0.020783648223055007,-0.211178389865474,-0.006231313255238957,1.000061144323165
4013,-0.011464350284473568,-0.8571583119200255,-0.9235671549221003,-0.006027533501906657,-0.25042936837950114,-0.006274962501754411,1.0000174950766496
4015,0.017454663934324266,-0.8840170729019436,-0.8840170729019436,0.0,-0.19951479871548328,-0.00629245757840402,1.0
