w_i,state_county_work
35896.805,20193
32020.775,20195
24974.385,20197
33024.59,20199
24000.605,20201
35372.613,20203
33971.277,20205
29375.537,20207
49192.375,20209
24356.197,21001
30621.752,21003
27603.627,21005
38287.504,21007
28994.95,21009
24363.836,21011
33285.617,21013
44655.707,21015
35020.65,21017
44109.17,21019
34552.18,21021
21194.334,21023
32945.74,21025
22015.86,21027
28339.273,21029
27338.686,21031
29093.809,21033
31691.676,21035
35577.504,21037
22585.426,21039
41876.54,21041
24340.586,21043
22145.809,21045
55157.12,21047
33590.516,21049
33888.66,21051
27085.002,21053
20702.873,21055
20916.78,21057
36748.562,21059
23247.354,21061
20435.18,21063
24371.068,21065
46929.902,21067
23444.996,21069
39143.453,21071
44161.793,21073
32905.098,21075
38872.11,21077
24940.342,21079
26793.672,21081
30842.732,21083
25969.055,21085
20069.46,21087
36817.65,21089
53627.363,21091
42805.723,21093
38940.473,21095
29990.238,21097
24166.771,21099
41027.19,21101
26471.385,21103
42296.566,21105
37692.28,21107
21856.902,21109
51118.73,21111
34703.96,21113
31560.21,21115
47007.008,21117
44108.68,21119
31167.791,21121
23382.879,21123
33974.457,21125
32752.654,21127
27466.096,21129
39651.387,21131
38504.38,21133
22271.879,21135
25869.217,21137
32455.746,21139
33623.516,21141
27861.096,21143
39886.316,21145
30099.156,21147
34879.55,21149
32691.818,21151
25773.6,21153
30838.99,21155
38210.668,21157
39590.844,21159
34296.426,21161
29039.03,21163
22523.709,21165
33810.375,21167
23867.645,21169
23804.979,21171
31413.076,21173
26985.467,21175
37830.656,21177
34839.785,21179
16975.855,21181
29961.318,21183
33869.156,21185
24455.592,21187
22020.016,21189
26338.99,21191
42293.168,21193
41650.258,21195
26652.154,21197
32077.621,21199
16217.082,21201
25225.957,21203
31383.127,21205
27199.242,21207
50436.496,21209
33661.6,21211
36106.395,21213
20289.678,21215
28272.312,21217
31270.139,21219
31848.857,21221
29482.598,21223
38400.645,21225
38600.383,21227
28175.941,21229
27858.121,21231
43944.625,21233
34502.605,21235
22780.453,21237
38239.49,21239
33645.098,22001
31977.512,22003
30737.518,22005
39861.33,22007
30091.408,22009
33406.234,22011
32069.826,22013
39408.84,22015
44303.44,22017
42776.016,22019
29938.465,22021
46716.88,22023
32067.309,22025
38714.68,22027
32883.895,22029
42551.8,22031
48454.246,22033
37374.793,22035
36815.156,22037
32815.562,22039
30683.268,22041
31319.719,22043
46320.41,22045
58129.87,22047
35807.8,22049
47545.04,22051
33699.344,22053
47676.77,22055
42893.62,22057
37542.336,22059
39454.36,22061
30587.02,22063
35392.527,22065
34967.805,22067
38757.562,22069
58380.152,22071
39392.344,22073
60395.957,22075
35596.145,22077
41984.086,22079
36063.188,22081
34674.805,22083
32197.11,22085
45638.25,22087
57186.473,22089
20424.133,22091
54513.797,22093
45834.355,22095
35296.797,22097
29531.553,22099
47572.594,22101
38142.457,22103
33705.363,22105
34388.324,22107
49207.742,22109
31582.303,22111
37033.258,22113
48320.52,22115
31052.43,22117
36420.242,22119
44812.98,22121
29302.758,22123
51180.844,22125
34103.3,22127
38324.4,23001
34733.086,23003
45650.19,23005
