vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w
13103,1.0013368100356228,0.9887605116387707,1.010426710437584,1.0047997992101059,0.9665028843334609,0.9874094226192701,1.0008805108472,1.015276555764212,1.0039158404229376,0.0076646889780278005,14798,30030.78,0.899943316170555,32861.8
13105,1.001476680463445,0.9957630027366361,1.0010385927745629,1.0019412665094043,0.9831248559016146,0.9932998685020873,1.000650242767828,1.0029818754693374,1.0012901848082354,-0.0009575232780015264,10097,10800.34,0.8001895962202624,32551.65
13107,1.0013140627883725,0.9988733763448481,1.0001552516536434,1.0032987640675897,0.9818454268772591,0.9971001771119724,1.000721201188197,1.0034545278598095,1.002575705277686,-0.0008174384710544214,11333,11340.2,0.6776377436165829,27567.72
13109,1.0012622535098912,1.0118184450526084,1.0037496005643245,1.0031859562358318,0.9770917970197162,1.0103024013283428,1.0007619278729178,1.006947502863456,1.0024221828342992,0.001834621791005242,6399,5333.482,0.8048355321646513,31424.13
13111,1.0014964346471416,0.9950263743787184,1.0016151417378363,1.0045672882264862,0.9791710048471947,0.9923067288986783,1.0005831588388916,1.0061898067821657,1.003981807361437,0.00045531894923789284,11443,12871.08,0.5538372211958701,24955.87
13113,1.0019487650928445,1.006280954257436,1.0054698571612783,1.010928398522766,0.9691856047513226,0.9996031360612062,0.9997274878574672,1.0164580324629653,1.011203963881501,0.004973783802295628,67750,69402.78,0.7513534839858214,33558.92
13115,1.00149044413573,1.0010967376779822,0.9992378159765818,1.0016335998706274,0.9862880142388168,0.998012232474609,1.0004608131821315,1.000870170743487,1.001172246501855,-0.0025082762840848982,54111,49746.14,0.9476804771470329,37922.95
13117,1.0019422250803571,1.0011985374581605,1.0096854799853838,1.0047326514084445,0.9705011520135283,0.9964115239725617,1.000342816868875,1.0144639693943225,1.0043883301459693,0.0058913181214352295,64356,87270.13,1.2695412064715528,50096.63
13119,1.0015302448646617,1.0089310292312221,1.0052134125390604,1.0034749755767085,0.9760494140826945,1.006067042163939,1.000581687114311,1.0087065045970134,1.0028916064521847,0.0025651066463553973,12883,12112.12,0.7122064739175985,30225.49
13121,1.0015373647476926,1.0205957636864387,1.0075108822235879,0.9963008583718013,0.9869618588672587,1.0106045408341127,0.9982584252631693,1.0037839567782914,0.9980390179117677,-0.00026389168573032196,965035,545203.8,1.8549862724950248,70720.84
