state_county_res,residence_emp
17075,18752.44
17077,33083.41
17079,6037.22
17081,20578.773
17083,13764.089
17085,15668.284
17087,5485.1475
17089,311875.34
17091,58730.176
17093,65120.52
17095,28297.79
17097,441881.97
17099,63595.395
17101,7365.7964
17103,19605.479
17105,21344.758
17107,15320.1045
17109,16487.023
17111,183122.48
17113,105521.52
17115,61021.51
17117,27483.195
17119,152605.34
17121,20457.018
17123,7473.42
17125,7825.914
17127,7980.6494
17129,8760.52
17131,10506.997
17133,21817.61
17135,14871.229
17137,18979.893
17139,7894.9004
17141,32993.97
17143,104665.32
17145,10303.406
17147,10264.606
17149,9058.182
17151,2498.8442
17153,2824.3716
17155,3641.8274
17157,15767.126
17159,9622.824
17161,84539.9
17163,147039.4
17165,12338.869
17167,112060.22
17169,4508.15
17171,3424.6487
17173,13274.692
17175,3337.4465
17177,28775.52
17179,82631.03
17181,9133.841
17183,41521.895
17185,7126.2627
17187,9959.115
17189,9193.496
17191,9914.584
17193,9235.806
17195,32607.275
17197,379171.66
17199,35690.273
17201,164932.97
17203,25217.697
18001,23183.123
18003,212276.42
18005,46914.33
18007,5421.879
18009,7161.3184
18011,37763.23
18013,10775.124
18015,14237.005
18017,21152.324
18019,69869.4
18021,16602.795
18023,19131.303
18025,6203.381
18027,18998.512
18029,32255.25
18031,14945.699
18033,26705.748
18035,62403.61
18037,26793.0
18039,125264.49
18041,12541.496
18043,47865.754
18045,10211.94
18047,13253.396
18049,12995.178
18051,17766.623
18053,35386.293
18055,18768.053
18057,182116.61
18059,49578.87
18061,24932.568
18063,92832.875
18065,26599.908
18067,44006.875
18069,23579.832
18071,24773.23
18073,20799.861
18075,12875.436
18077,18591.139
18079,16251.278
18081,89142.086
