vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w,s_i,lambda_nn_given_n
17151,1.0015177729055673,0.9854235078478424,1.0010554854909641,1.0042357589826918,0.9773248261535077,0.9854272177042492,1.0015190297196628,1.0052957152558053,1.0027126087297507,0.002138861,1254,2498.844,0.6175959254952631,25956.94,0.098328947,0.35924393
17153,1.0015047164866262,0.9992195665170884,1.0012383618155403,1.0015992753145944,0.9804371084458879,0.9992871515237066,1.0015272958339347,1.0028396176116168,1.0000718697143443,0.001210608,2993,2824.372,0.9559219189778088,35934.52,0.1434433016997518,0.51890916
17155,1.0016541356947948,0.9971845604563707,1.004096415,1.0006051007450674,0.9785641172256945,0.9967254779463193,1.0015003986975712,1.004703994794761,0.9991060433389061,0.002650703,2744,3641.827,1.2664381685832793,45506.56,0.15624956178938626,0.4183864
17157,1.0016594670079284,0.9903705330568151,0.9998918630745155,1.0030297426593935,0.9810532021008467,0.9896428293846536,1.001414074046207,1.0029212781068528,1.001613387164271,0.000565441,14916,15767.13,1.007605158604301,38030.71,0.14651175332909847,0.68274754
17159,1.0015372563063967,0.9956999414942423,0.9952193912787066,1.0019919233860184,0.9879127138120477,0.9956351865623779,1.0015155443159776,0.9972017920584136,1.0004756581889762,-0.002975746,9452,9622.824,0.7965264274983387,31643.67,0.17056976695086648,0.7891741
17161,1.001492292014454,1.0029662867936318,1.0019945436153832,0.998031591,0.9843263615682669,1.0026551468907874,1.0013887204235252,1.0000222087856252,0.996647526,0.000210335,95516,84539.9,1.575244416242025,54252.51,0.22369505714052318,0.7352872
17163,1.0018248233129268,0.9913421218164614,1.0019800937471246,1.0052022994760257,0.9767342137308852,0.9891234920770939,1.001076901720923,1.0071926942638134,1.0041209598863094,0.002644572,128994,147039.4,1.184606560247724,43877.44,0.23848018146202374,0.6581432
17165,1.0015207357858666,0.9950803673203007,0.9966234273877036,1.0013114648488501,0.9868664118261986,0.9951218010531736,1.0015346362264925,0.9979304639802631,0.999777171,-0.002224177,13093,12338.87,0.9697408315815088,36542.58,0.14291881598389009,0.7698597
17167,1.001460571602024,1.000655617552696,0.9934796506365569,1.0011954595904828,0.9910716467408238,1.0007050575189407,1.0014770645760915,0.9946673154128599,0.99971881,-0.004481198,127265,112060.2,1.2721898162470562,45692.59,0.2887577239561127,0.9509029
17169,1.0015597913533498,0.992389688,1.001278733,1.000977325,0.9813925929635922,0.9922586918808262,1.0015157206342729,1.0022573075115526,0.9994624189371466,0.000912831,3479,4508.15,1.063531289633438,38707.1,0.16968693879271704,0.57840234
