NAME,state,county,pct_bachelors_plus
"Fremont County, Idaho",16,043,19.8
"Gem County, Idaho",16,045,12.6
"Gooding County, Idaho",16,047,11.5
"Idaho County, Idaho",16,049,12.3
"Jefferson County, Idaho",16,051,17.8
"Jerome County, Idaho",16,053,12.1
"Kootenai County, Idaho",16,055,23.2
"Latah County, Idaho",16,057,41.8
"Lemhi County, Idaho",16,059,22.3
"Lewis County, Idaho",16,061,15.5
"Lincoln County, Idaho",16,063,11.4
"Madison County, Idaho",16,065,30.0
"Minidoka County, Idaho",16,067,9.4
"Nez Perce County, Idaho",16,069,18.2
"Oneida County, Idaho",16,071,15.6
"Owyhee County, Idaho",16,073,10.3
"Payette County, Idaho",16,075,13.8
"Power County, Idaho",16,077,18.9
"Shoshone County, Idaho",16,079,11.9
"Teton County, Idaho",16,081,31.6
"Twin Falls County, Idaho",16,083,16.8
"Autauga County, Alabama",01,001,21.7
"Baldwin County, Alabama",01,003,26.8
"Barbour County, Alabama",01,005,13.5
"Bibb County, Alabama",01,007,10.0
"Blount County, Alabama",01,009,12.5
"Bullock County, Alabama",01,011,12.0
"Butler County, Alabama",01,013,11.0
"Calhoun County, Alabama",01,015,16.1
"Chambers County, Alabama",01,017,10.8
"Cherokee County, Alabama",01,019,10.5
"Chilton County, Alabama",01,021,12.2
"Choctaw County, Alabama",01,023,10.9
"Clarke County, Alabama",01,025,13.5
"Clay County, Alabama",01,027,9.5
"Cleburne County, Alabama",01,029,8.4
"Coffee County, Alabama",01,031,22.1
"Colbert County, Alabama",01,033,16.4
"Conecuh County, Alabama",01,035,9.7
"Coosa County, Alabama",01,037,10.6
"Covington County, Alabama",01,039,13.1
"Crenshaw County, Alabama",01,041,10.1
"Cullman County, Alabama",01,043,13.8
"Dale County, Alabama",01,045,17.5
"Dallas County, Alabama",01,047,14.3
"DeKalb County, Alabama",01,049,10.9
"Elmore County, Alabama",01,051,20.2
"Escambia County, Alabama",01,053,10.9
"Etowah County, Alabama",01,055,15.8
"Fayette County, Alabama",01,057,9.5
"Franklin County, Alabama",01,059,11.8
"Geneva County, Alabama",01,061,8.0
"Greene County, Alabama",01,063,9.9
"Hale County, Alabama",01,065,10.0
"Henry County, Alabama",01,067,15.0
"Houston County, Alabama",01,069,19.0
"Jackson County, Alabama",01,071,12.0
"Jefferson County, Alabama",01,073,28.8
"Lamar County, Alabama",01,075,9.2
"Lauderdale County, Alabama",01,077,21.5
"Lawrence County, Alabama",01,079,10.7
"Lee County, Alabama",01,081,30.9
"Limestone County, Alabama",01,083,20.8
"Lowndes County, Alabama",01,085,12.7
"Macon County, Alabama",01,087,20.9
"Madison County, Alabama",01,089,37.4
"Marengo County, Alabama",01,091,17.9
"Marion County, Alabama",01,093,8.8
"Marshall County, Alabama",01,095,14.5
"Mobile County, Alabama",01,097,19.8
"Monroe County, Alabama",01,099,11.2
"Montgomery County, Alabama",01,101,30.5
"Morgan County, Alabama",01,103,19.1
"Perry County, Alabama",01,105,13.3
"Pickens County, Alabama",01,107,11.5
"Pike County, Alabama",01,109,23.7
"Randolph County, Alabama",01,111,12.2
"Russell County, Alabama",01,113,11.9
"St. Clair County, Alabama",01,115,14.5
"Shelby County, Alabama",01,117,39.6
"Sumter County, Alabama",01,119,12.8
"Talladega County, Alabama",01,121,11.9
"Tallapoosa County, Alabama",01,123,15.7
"Tuscaloosa County, Alabama",01,125,26.2
"Walker County, Alabama",01,127,9.7
"Washington County, Alabama",01,129,9.3
"Wilcox County, Alabama",01,131,13.2
"Winston County, Alabama",01,133,11.1
"Aleutians East Borough, Alaska",02,013,9.6
"Aleutians West Census Area, Alaska",02,016,9.0
"Anchorage Municipality, Alaska",02,020,33.0
"Bethel Census Area, Alaska",02,050,13.9
"Bristol Bay Borough, Alaska",02,060,15.9
"Denali Borough, Alaska",02,068,27.5
"Dillingham Census Area, Alaska",02,070,20.2
"Fairbanks North Star Borough, Alaska",02,090,27.1
"Haines Borough, Alaska",02,100,33.1
"Hoonah-Angoon Census Area, Alaska",02,105,27.9
"Juneau City and Borough, Alaska",02,110,34.7
"Kenai Peninsula Borough, Alaska",02,122,22.4
"Ketchikan Gateway Borough, Alaska",02,130,24.2
"Kodiak Island Borough, Alaska",02,150,21.8
"Lake and Peninsula Borough, Alaska",02,164,13.5
"Matanuska-Susitna Borough, Alaska",02,170,20.8
"Nome Census Area, Alaska",02,180,14.9
"North Slope Borough, Alaska",02,185,13.5
"Northwest Arctic Borough, Alaska",02,188,12.5
"Petersburg Census Area, Alaska",02,195,27.4
"Prince of Wales-Hyder Census Area, Alaska",02,198,17.8
"Sitka City and Borough, Alaska",02,220,29.2
"Skagway Municipality, Alaska",02,230,32.3
"Southeast Fairbanks Census Area, Alaska",02,240,20.0
"Valdez-Cordova Census Area, Alaska",02,261,23.7
"Wade Hampton Census Area, Alaska",02,270,7.7
"Wrangell City and Borough, Alaska",02,275,16.2
"Yakutat City and Borough, Alaska",02,282,17.9
"Yukon-Koyukuk Census Area, Alaska",02,290,11.5
"Apache County, Arizona",04,001,10.3
"Cochise County, Arizona",04,003,21.4
"Coconino County, Arizona",04,005,31.1
"Gila County, Arizona",04,007,15.0
"Graham County, Arizona",04,009,13.4
"Greenlee County, Arizona",04,011,13.4
"La Paz County, Arizona",04,012,9.0
"Maricopa County, Arizona",04,013,29.0
"Mohave County, Arizona",04,015,12.0
"Navajo County, Arizona",04,017,14.4
"Pima County, Arizona",04,019,29.6
"Pinal County, Arizona",04,021,17.9
"Santa Cruz County, Arizona",04,023,17.3
"Yavapai County, Arizona",04,025,23.7
"Yuma County, Arizona",04,027,13.3
"Arkansas County, Arkansas",05,001,14.3
"Ashley County, Arkansas",05,003,13.7
"Baxter County, Arkansas",05,005,14.5
"Benton County, Arkansas",05,007,25.9
"Boone County, Arkansas",05,009,14.5
"Bradley County, Arkansas",05,011,12.7
"Calhoun County, Arkansas",05,013,6.6
"Carroll County, Arkansas",05,015,17.4
"Chicot County, Arkansas",05,017,12.6
"Clark County, Arkansas",05,019,21.7
"Clay County, Arkansas",05,021,8.8
"Cleburne County, Arkansas",05,023,13.8
"Cleveland County, Arkansas",05,025,14.0
"Columbia County, Arkansas",05,027,20.8
"Conway County, Arkansas",05,029,13.8
"Craighead County, Arkansas",05,031,23.1
"Crawford County, Arkansas",05,033,13.0
"Crittenden County, Arkansas",05,035,14.2
"Cross County, Arkansas",05,037,12.6
"Dallas County, Arkansas",05,039,12.4
"Desha County, Arkansas",05,041,13.6
"Drew County, Arkansas",05,043,19.4
"Faulkner County, Arkansas",05,045,26.4
"Franklin County, Arkansas",05,047,11.6
"Fulton County, Arkansas",05,049,9.7
"Garland County, Arkansas",05,051,20.2
"Grant County, Arkansas",05,053,14.7
"Greene County, Arkansas",05,055,12.0
"Hempstead County, Arkansas",05,057,14.7
"Hot Spring County, Arkansas",05,059,12.5
"Howard County, Arkansas",05,061,12.4
"Independence County, Arkansas",05,063,14.7
"Izard County, Arkansas",05,065,12.3
"Jackson County, Arkansas",05,067,7.0
"Jefferson County, Arkansas",05,069,16.5
"Johnson County, Arkansas",05,071,14.8
"Lafayette County, Arkansas",05,073,13.3
"Lawrence County, Arkansas",05,075,9.2
"Lee County, Arkansas",05,077,8.5
"Lincoln County, Arkansas",05,079,8.6
"Little River County, Arkansas",05,081,11.9
"Logan County, Arkansas",05,083,11.7
"Lonoke County, Arkansas",05,085,16.6
"Madison County, Arkansas",05,087,13.4
"Marion County, Arkansas",05,089,14.8
"Miller County, Arkansas",05,091,12.7
"Mississippi County, Arkansas",05,093,11.0
"Monroe County, Arkansas",05,095,12.3
"Montgomery County, Arkansas",05,097,10.1
"Nevada County, Arkansas",05,099,10.7
"Newton County, Arkansas",05,101,12.2
"Ouachita County, Arkansas",05,103,13.2
"Perry County, Arkansas",05,105,10.5
"Phillips County, Arkansas",05,107,12.1
"Pike County, Arkansas",05,109,12.4
"Poinsett County, Arkansas",05,111,8.8
"Polk County, Arkansas",05,113,10.0
"Pope County, Arkansas",05,115,20.1
"Prairie County, Arkansas",05,117,11.5
"Pulaski County, Arkansas",05,119,30.7
"Randolph County, Arkansas",05,121,11.1
"St. Francis County, Arkansas",05,123,10.5
"Saline County, Arkansas",05,125,22.6
"Scott County, Arkansas",05,127,9.0
"Searcy County, Arkansas",05,129,9.2
"Sebastian County, Arkansas",05,131,17.9
"Sevier County, Arkansas",05,133,9.3
"Sharp County, Arkansas",05,135,12.5
"Stone County, Arkansas",05,137,10.4
"Union County, Arkansas",05,139,16.1
"Van Buren County, Arkansas",05,141,13.2
"Washington County, Arkansas",05,143,27.4
"White County, Arkansas",05,145,17.3
"Woodruff County, Arkansas",05,147,9.0
"Yell County, Arkansas",05,149,10.3
"Alameda County, California",06,001,40.3
"Alpine County, California",06,003,29.7
"Amador County, California",06,005,19.0
"Butte County, California",06,007,24.1
"Calaveras County, California",06,009,19.6
"Colusa County, California",06,011,11.7
"Contra Costa County, California",06,013,38.2
"Del Norte County, California",06,015,14.3
"El Dorado County, California",06,017,31.1
"Fresno County, California",06,019,19.7
"Glenn County, California",06,021,16.2
"Humboldt County, California",06,023,26.3
"Imperial County, California",06,025,12.2
"Inyo County, California",06,027,20.9
"Kern County, California",06,029,14.7
"Kings County, California",06,031,11.8
"Lake County, California",06,033,16.4
"Lassen County, California",06,035,12.4
"Los Angeles County, California",06,037,29.0
"Madera County, California",06,039,13.5
"Marin County, California",06,041,54.1
"Mariposa County, California",06,043,20.4
"Mendocino County, California",06,045,22.7
"Fulton County, Indiana",18,049,14.0
"Gibson County, Indiana",18,051,14.3
"Grant County, Indiana",18,053,15.4
